Personal/en,Persönlich/de,Culture/en,Kultur/de,Family/en,Familie/de,Self/en,Selbst/de,Work/en,Arbeit/de,Travel/en,Reisen/de,Live & Death/en,Leben & Tod/de,Past 12 months/en,Rückblick 12 Monate/de,Future 12 months/en,Vorausblick 12 Monate/de
Have you ever missed out on something because of fear?,"Gibt es etwas, das du bereust aus Angst nicht getan zu haben?",What is a piece of art that you admire and why do you like it?,"Beschreibe ein Kunstwerk, das du wirklich magst, und warum?","Are you willing to connect people from different parts of your life, or do you prefer to keep them separate?","Bevorzugst du es, Menschen aus deinen verschiedenen Lebensbereichen zu trennen oder miteinander zu verbinden?",What is the first thing you typically check when you look in the mirror?,"Wenn du in den Spiegel schaust, was überprüfst du dann als erstes?","Who was the best boss you've ever had, and what made them stand out?","Wer ist der beste Chef, den du je hattest? Und was zeichnete ihn aus?",Have you ever travelled on your own?,Bist du schon einmal allein verreist?,In what ways could society show greater appreciation for the elderly?,Wie könnten wir älteren Menschen mehr Wertschätzung entgegenbringen?,What was the best thing you bought for under 100€?,"Was war der beste Kauf, den du für unter 100€ getätigt hast?",What will be in your photos?,Was wirst du auf deinen Fotos zeigen können?
What situations make you feel shy?,In welchen Situationen fühlst du dich schüchtern?,What piece of art would you choose to own if you could pick only one and why?,"Wenn du ein beliebiges Kunstwerk besitzen könntest, welches wäre es und warum?",What are some of the best things that you feel you owe to your parents?,"Was sind die besten Dinge, die du deinen Eltern verdankst?",Who is the person who supports you the most or is your biggest fan?,Wer ist dein größter Fan?,Are you comfortable sharing your salary with your friends?,"Wäre es okay für dich, deinen Freunden dein Gehalt zu nennen?",What qualities make for a good travel companion?,Was macht eine Person zu einem guten Reisebegleiter?,What does a meaningful or positive death mean to you?,Was wäre für dich ein guter Tod?,Which achievement are you most proud of?,Auf welche Leistung oder Errungenschaft bist du besonders stolz?,What bad habit would you like to get rid of?,Welche unerwünschte Gewohnheit möchtest du ablegen?
Are you skilled at apologizing?,"Bist du gut darin, dich zu entschuldigen?",What qualities make for an ideal host or hostess?,Welche Fähigkeiten hat der ideale Gastgeber oder die ideale Gastgeberin?,What is the kindest thing that someone has ever done for you?,"Was ist das Netteste, was jemand für dich getan hat?",Have you ever had a religious or spiritual experience?,Hattest du jemals eine religiöse Erfahrung?,In what ways do you think you could be a challenging person to work with or for?,"Inwiefern könntest du eine schwierige Person sein, mit oder für die man arbeitet?",Would you rather stay in a bad hotel with a good meal or a good hotel with a bad meal?,Würdest du lieber in einem schlechten Hotel mit einer guten Mahlzeit oder in einem guten Hotel mit einer schlechten Mahlzeit übernachten?,"If you had only one year left to live, how would you choose to spend that time?","Wenn du wüsstest, dass du nur noch ein Jahr zu leben hättest, wie würdest du die nächsten 12 Monate verbringen?",What is your most valuable lesson?,"Was ist die wertvollste Lektion, die du gelernt hast?",What will you do that no one would expect you to do?,"Was wirst du tun, womit niemand rechnen würde?"
What makes you feel envious?,Was macht dich neidisch?,Can you describe your personal style and preferences when it comes to interior design?,Kannst du deinen eigenen Geschmack in Bezug auf Interieur und Design beschreiben?,What are some of your happiest memories with your parents?,Was sind deine schönsten Erinnerungen mit deinen Eltern?,Do you have any techniques for staying calm or managing stress?,"Hast du eine Technik, um ruhig zu bleiben?","If you could use the resources of the Bill Gates Foundation to address only one issue, which one would you choose?","Wenn du die Stiftung von Bill Gates leiten würdest, aber die Mittel nur für ein einziges Problem ausgeben könntest, welches wäre das?",Do you prefer a settled or nomadic lifestyle?,Fühlst du dich eher zu einem nomadischen oder einem sesshaften Leben hingezogen?,What do you consider to be the most positive aspects of middle age?,Was sind deiner Meinung nach die besten Eigenschaften des mittleren Alters?,What moment would you most like to relive?,Welchen Moment würdest du gerne noch einmal erleben?,What would you like to spend less time on?,Für was möchtest du weniger Zeit aufwenden?
What causes you the most stress?,Was stresst dich am meisten?,How has music influenced your perspective on life?,Wie hat Musik deine Sicht auf das Leben beeinflusst?,"Do you believe that the saying ""they fuck you up, your mum and dad"" holds any truth?","Inwiefern machen deine Eltern dir das Leben schwer, auch wenn das nicht ihre Intention ist?",Are you currently in the place in life that you wanted to be at this point?,"Bist du da, wo du in dieser Phase deines Lebens sein wolltest?",What task were you working on the last time you completely lost track of time?,"Welcher Arbeit bist du nachgegangen, als du das letzte Mal die Zeit ganz vergessen hast?",Are there travel mistakes you tend to make repeatedly?,"Gibt es Fehler, die du von Reise zu Reise wiederholst?",,,When did you laugh the loudest?,Wann hast du am lautesten gelacht?,What are you looking forward to the most?,Auf was freust du dich am meisten?
In what areas are you content with being good enough?,"In welchen Bereichen bist du froh, gut genug zu sein?",What sources of culture do you seek out to gain insight into everyday issues?,"Welche kulturellen Quellen helfen dir, eine neue Perspektive auf alltägliche Belange zu erhalten?","Which close relative do you have the least affinity for, and what is the reason?",Welchen nahen Verwandten magst du am wenigsten und warum?,Describe a memory associated with a taste or smell that holds significance for you.,Beschreibe eine Erinnerung an einen Geschmack oder Geruch und was er bei dir auslöst.,"If you had to choose between a happy home life and an average career, or a successful career and an average home life, which would you choose?","Wenn du die Wahl hättest zwischen einem glücklichen Leben zu Hause und einer mittelmäßigen Karriere oder einer erfolgreichen Karriere und einem mittelmäßigen Leben zu Hause, was würdest du wählen?","Would you rather have a view of the sea or the desert, and why?",Würdest du den Blick auf die Wüste oder auf das Meer bevorzugen - und warum?,,,Who or what has inspired you the most?,Wer oder was hat dich besonders inspiriert?,What habit would you like to keep?,Welche Gewohnheit möchtest du beibehalten?
"When was the last time you experienced ""Schadenfreude""? Can you share what triggered it?","Wann hast du das letzte Mal Schadenfreude erlebt? Traust du dich zuzugeben, was es ausgelöst hat?",Have you ever had disagreements with your partner or friends about matters of taste?,Haben du und dein Partner oder deine Freunde schon einmal über Geschmack gestritten?,"What do you know about your distant ancestors, beyond your great grandparents?","Was weißt du über deine entfernten Vorfahren, abgesehen von deinen Urgroßeltern?",When was the last time you cried due to pain or sadness?,Wann hast du zuletzt vor Schmerz oder Trauer geweint?,What job did you dream of having when you were a child?,Von welchem späteren Beruf hast du als Kind geträumt?,"If you had to live somewhere other than where you currently live, where would you choose to live?","Wenn du woanders leben müsstest, welchen Ort würdest du wählen?",,,What was the most beautiful place you visited?,"Was war der schönste Ort, den du besucht hast?",What will you do for the first time in your life?,Was wirst du zum ersten Mal in deinem Leben tun?
In what ways are you still the same as you were in your childhood?,"In welcher Hinsicht bist du immer noch dieselbe Person, die du als Kind warst?",Is the quality of a work of art reflected in its price?,Spiegelt der Preis eines Kunstwerks jemals seine Qualität wider?,"Among the people you spend time with, who brings out your best qualities?","Wer von den Menschen, mit denen du Zeit verbringst, bringt deine besten Eigenschaften zum Vorschein?",What was the best evening you have ever experienced?,"Was war der schönste Abend, den du je erlebt hast?","If you won the lottery, what would be the first thing you'd do with the money?","Was wäre das Erste, was du tun würdest, wenn du im Lotto gewinnen würdest?",,,,,What was your most exciting experience?,"Was war die aufregendste Erfahrung, die du gemacht hast?",What will you do to make the next twelve months as wonderful or better than the last twelve months?,"Was wirst du tun (oder nicht tun), um die nächsten zwölf Monate genauso wundervoll oder noch besser als die letzten zwölf Monate zu machen?"
What do you think people say about you when they gossip?,"Was denkst du, was die Leute sagen, wenn sie über dich lästern?","If you had to choose only one, which medium would you prefer: art, film, literature, or music?","Wenn du nur ein Medium haben könntest, welches würdest du wählen: Kunst, Film, Literatur oder Musik?",What is the most surprising conversation you have ever had?,"Welches ist das überraschendste Gespräch, das du je geführt hast?",Why do you have the ambitions that you currently hold?,"Warum hast du die Ambitionen, die du hast?",Have you ever undermined your own success?,Hast du jemals deinen eigenen Erfolg sabotiert?,,,,,What three things gave you the most energy?,Welche drei Dinge haben dir besonders viel Energie gegeben?,What will you do (or leave undone) to achieve YOUR GOALS AND DREAMS?,"Was wirst du tun, um DEINE ZIELE UND TRÄUME zu erreichen?"
Do you consider yourself a competitive person?,Bist du wettbewerbsorientiert?,Has a work of literature or art ever had a direct impact on your life?,Hat ein Werk der Literatur oder Kunst jemals dein Leben direkt beeinflusst?,Have you ever regretted losing touch with someone?,"Gibt es jemanden, zu dem du es bedauerst, den Kontakt verloren zu haben?",When do you feel lonely or isolated?,Wann fühlst du dich einsam oder isoliert?,Is it more effective to donate money to the government or to a charity?,"Ist es effektiver, Geld an den Staat zu spenden oder an eine wohltätige Organisation?",,,,,What kept you awake at night?,Was hat dich nachts wachgehalten?,What do you want to spend more time on?,Für was möchtest du mehr Zeit aufwenden?
